Date,Open,High,Low,Close,Adj Close,Volume
2020-10-15,146.509995,146.910004,145.380005,146.779999,144.316589,3785900
2020-10-16,147.110001,148.380005,146.000000,146.119995,143.667679,2918900
2020-10-19,147.000000,147.410004,142.210007,142.800003,140.403397,3158900
2020-10-20,143.360001,144.119995,142.110001,143.589996,141.180115,2188700
2020-10-21,142.289993,143.330002,141.210007,141.309998,138.938400,1983700
2020-10-22,141.529999,142.259995,140.800003,141.649994,139.272690,3056600
2020-10-23,142.240005,144.699997,141.720001,142.380005,139.990433,2427200
2020-10-26,141.899994,142.289993,140.050003,141.699997,139.321854,2947100
2020-10-27,133.020004,136.080002,131.869995,131.899994,129.686310,11374600
2020-10-28,130.460007,134.100006,130.309998,131.309998,129.106216,6188000
2020-10-29,132.000000,133.130005,130.380005,132.550003,130.325424,4099900
2020-10-30,131.759995,133.100006,129.210007,130.460007,128.270493,4335300
2020-11-02,132.539993,133.949997,129.990005,131.630005,129.420868,3449500
2020-11-03,133.639999,134.070007,130.699997,130.979996,128.781769,3628400
2020-11-04,134.910004,151.979996,134.910004,148.589996,146.096207,12211700
2020-11-05,147.679993,148.809998,144.699997,145.520004,143.077759,5731000
2020-11-06,145.050003,147.389999,139.100006,142.740005,140.344406,6229800
2020-11-09,142.539993,144.750000,140.600006,142.330002,139.941269,5493800
2020-11-10,147.600006,149.199997,143.789993,146.559998,144.100281,5377000
2020-11-11,147.759995,147.759995,143.369995,144.759995,142.330490,3046800
2020-11-12,142.929993,143.460007,139.860001,141.029999,139.375580,3463400
2020-11-13,142.429993,143.210007,141.320007,142.380005,140.709747,2142700
2020-11-16,143.059998,144.300003,140.000000,140.589996,138.940735,4957600
2020-11-17,139.570007,141.960007,138.610001,141.199997,139.543579,3619200
2020-11-18,141.899994,142.419998,140.130005,140.169998,138.525665,2795100
2020-11-19,140.250000,143.889999,138.919998,143.410004,141.727646,4626100
2020-11-20,142.839996,147.089996,142.839996,145.490005,143.783249,5063800
2020-11-23,145.539993,145.619995,141.160004,143.380005,141.698013,3794200
2020-11-24,143.389999,145.639999,143.110001,144.899994,143.200165,4127000
2020-11-25,144.899994,145.339996,142.610001,144.750000,143.051941,3223700
2020-11-27,145.649994,147.919998,145.360001,147.440002,145.710388,1754000
2020-11-30,146.339996,148.169998,144.899994,145.649994,143.941376,5842200
2020-12-01,146.690002,148.059998,145.259995,145.559998,143.852432,3954400
2020-12-02,145.360001,147.089996,144.380005,145.160004,143.457123,3757400
2020-12-03,145.699997,146.500000,143.130005,144.110001,142.419434,4059600
